"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT04","WT08"
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-15","7.16"," 1330","0.00",,,"32","12","  170","  170","16.1","23.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-16","5.82"," 0050","0.00",,,"43","27","  210","  200","13.0","15.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-17","3.36"," 1405","0.00",,,"51","28","  330","  300","13.0","18.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-18","5.59"," 1422","0.00",,,"47","36","  100","  130","12.1","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-19","10.51"," 1138","0.00",,,"48","31","  320","  310","23.0","32.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-20","8.95"," 0235","0.00",,,"35","24","  320","  330","16.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-21","7.61"," 0149","0.00",,,"35","19","  350","  330","16.1","25.1",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-22","6.93"," 1245","0.00",,,"51","23","  230","  290","17.0","23.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-23","5.59"," 1409","0.00",,,"56","24","  240","  220","17.0","23.9",,,,"    1"
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-24","3.80"," 1451","0.00",,,"61","31","  160","  150","16.1","21.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-25","3.58"," 1056","0.12",,,"52","43","  180","  160","10.1","17.0",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-26","6.26"," 2111","0.02",,,"47","43","  110","   90","15.0","19.9",,,,
"USW00094741","TETERBORO AIRPORT, NJ US","2020-02-27","16.55"," 1409","0.32",,,"43","29","  280","  280","35.1","51.0",,,,
